,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
0,060310,KOSDAQ,3S,특수 목적용 기계 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,"박종익, 김세완 (각자 대표이사)",http://www.3sref.com,서울특별시
3,054620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도
4,265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도
5,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시
13,035760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Minheoi Heo, Minho Hou",http://www.cjmall.com,서울특별시
21,051500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,문종석,http://www.cjfreshway.com,경기도
22,058820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.skynewpharm.com,서울특별시
23,023460,KOSDAQ,CNH,신탁업 및 집합투자업,투자자문,1994-10-07,12월,"임영기,김양수(각자 대표이사)",http://www.cnhcap.co.kr,경기도
24,065770,KOSDAQ,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,최규훈,http://www.cs-holdings.co.kr,경기도
25,083660,KOSDAQ,CSA 코스믹,기타 화학제품 제조업,"물탱크,상하수도용도류벽,축산탱크",2006-07-25,12월,조성아,http://www.gentro.co.kr,서울특별시
28,322780,KOSDAQ,DB금융스팩7호,금융 지원 서비스업,기타 금융서비스,2019-05-31,12월,방경환,,서울특별시
35,068790,KOSDAQ,DMS,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,박용석,http://www.dms21.co.kr,경기도
37,241520,KOSDAQ,DSC인베스트먼트,신탁업 및 집합투자업,투자조합 결성 및 투자,2016-12-19,12월,윤건수,http://www.dscinvestment.com,서울특별시
41,245620,KOSDAQ,EDGC,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018-06-26,12월,"이민섭, 신상철",http://www.edgc.com,인천광역시
42,037370,KOSDAQ,EG,기타 전문 도매업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,충청남도
43,079190,KOSDAQ,EMW,통신 및 방송 장비 제조업,휴대폰안테나,2005-11-29,12월,양일규 (단독대표),http://emw.co.kr,인천광역시
48,130500,KOSDAQ,GH신소재,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02,12월,우희구,http://www.gumho-nt.com,경상북도
50,900290,KOSDAQ,GRT,기타 금융업,"광학필름, 포장필름",2016-10-25,06월,주영남,,홍콩
52,083450,KOSDAQ,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller",2006-02-01,12월,김덕준,http://www.gst-in.com,경기도
57,028150,KOSDAQ,GS홈쇼핑,텔레비전 방송업,CATV홈쇼핑,2000-01-20,12월,김호성,http://company.gsshop.com,서울특별시
58,045890,KOSDAQ,GV,전구 및 조명장치 제조업,"CNC전용장비,LightPanel",2005-11-28,12월,김철현,http://www.fawoo.co.kr,경기도
59,078150,KOSDAQ,HB테크놀러지,특수 목적용 기계 제조업,TFT-LCD검사장비,2004-12-08,12월,문성준,http://www.ncbnet.co.kr,충청남도
65,036640,KOSDAQ,HRS,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조,2000-05-30,12월,김진성,http://www.hrssilicone.com,경기도
67,299170,KOSDAQ,IBKS제10호스팩,금융 지원 서비스업,기업인수합병,2018-09-21,12월,권인호,,서울특별시
68,335890,KOSDAQ,IBKS제11호스팩,금융 지원 서비스업,기타 금융업,2019-12-03,12월,김태운,,서울특별시
69,335870,KOSDAQ,IBKS제12호스팩,금융 지원 서비스업,기타 금융업,2019-12-09,12월,이준규,,서울특별시
70,351340,KOSDAQ,IBKS제13호스팩,금융 지원 서비스업,기업인수 및 합병,2020-07-15,12월,고병철,,서울특별시
71,351320,KOSDAQ,IBKS제14호스팩,기타 금융업,기업인수목적회사,2020-06-22,12월,이동헌,해당없음,서울특별시
73,095340,KOSDAQ,ISC,전자부품 제조업,반도체테스트소켓,2007-10-01,12월,"정영배, 박석순(각자 대표이사)",http://isc21.kr,경기도
74,099520,KOSDAQ,ITX-AI,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",2009-12-22,12월,"박상열, 유건상 (각자 대표이사)",http://www.itxsecurity.com,서울특별시
76,950170,KOSDAQ,JTC,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)",2018-04-06,02월,구철모,http://www.groupjtc.com/korean/,일본
78,067290,KOSDAQ,JW신약,의약품 제조업,"매니큐어세트, 손톱깎이",2003-02-11,12월,백승호,http://www.cwsy.co.kr,서울특별시
83,035900,KOSDAQ,JYP Ent.,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품,2001-08-30,12월,정욱,http://www.jype.com,서울특별시
87,024840,KOSDAQ,KBI메탈,1차 비철금속 제조업,모터코어,1994-12-29,12월,박한상,http://www.kbimetal.co.kr,대구광역시
89,024120,KOSDAQ,KB오토시스,자동차 신품 부품 제조업,브레이크패드,1994-12-07,12월,김신완,http://www.kbautosys.com,충청남도
96,021320,KOSDAQ,KCC건설,건물 건설업,"토목 건축공사, 분양공사",2001-08-21,12월,"정몽열,윤희영",http://www.kccworld.net,서울특별시
97,036670,KOSDAQ,KCI,기타 화학제품 제조업,"폴리머,레진,계면활성제",2001-01-03,12월,이진용,http://www.kciltd.com,충청남도
102,044180,KOSDAQ,KD,건물 건설업,몰드베이스(Mold Base),2000-11-16,12월,안태일,http://kdcon.co.kr,경기도
104,151860,KOSDAQ,KG ETS,폐기물 처리업,"집단에너지(스팀), 산화동, 폐기물 소각",2013-07-24,12월,엄기민,http://www.kgets.co.kr,경기도
107,046440,KOSDAQ,KG모빌리언스,소프트웨어 개발 및 공급업,유무선전화결제서비스,2004-12-14,12월,곽재선,http://www.mobilians.co.kr,서울특별시
108,035600,KOSDAQ,KG이니시스,소프트웨어 개발 및 공급업,전자지불서비스,2002-11-22,12월,유승용,http://www.inicis.com,서울특별시
110,060720,KOSDAQ,KH바텍,전자부품 제조업,"휴대폰부품(SHIELD, BRACKET)",2002-05-21,12월,남광희,http://www.khvatec.com,경상북도
112,122450,KOSDAQ,KMH,텔레비전 방송업,방송채널사업 및 방송송출서비스,2011-05-25,12월,한찬수,http://www.ikmh.co.kr,서울특별시
113,052900,KOSDAQ,KMH하이텍,플라스틱제품 제조업,TRAY(반도체Packing재료),2005-01-18,12월,이상국,http://www.kmhhitech.com,충청남도
114,058400,KOSDAQ,KNN,텔레비전 방송업,방송프로그램 제작 및 송출,2010-11-03,12월,김병근,http://www.knn.co.kr,부산광역시
115,114450,KOSDAQ,KPX생명과학,기초 의약물질 및 생물학적 제제 제조업,의약품 중간체 등,2009-12-22,12월,"양준영, 이기성(각자 대표이사)",http://www.kpxls.com/,전라남도
123,036030,KOSDAQ,KTH,상품 중개업,"K쇼핑, 콘텐츠유통, ICT",1999-12-24,12월,이필재,http://www.kthcorp.com,서울특별시
126,060370,KOSDAQ,KT서브마린,전기 및 통신 공사업,해저케이블등의 건설 및 유지보수 업무,2002-02-15,12월,김형준,http://www.ktsubmarine.co.kr,부산광역시
149,065150,KOSDAQ,MP그룹,음·식료품 및 담배 도매업,외식 프랜차이즈사업 및 식자재 유통,2007-07-18,12월,김흥연,http://www.mrpizza.co.kr,서울특별시
150,219550,KOSDAQ,MP한강,생활용품 도매업,기업인수합병,2015-07-22,12월,이진승,,서울특별시
152,160550,KOSDAQ,NEW,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화 투자 및 배급,2014-12-23,12월,김우택,http://www.its-new.co.kr,서울특별시
153,053290,KOSDAQ,NE능률,"서적, 잡지 및 기타 인쇄물 출판업",영어학습교재,2002-12-10,12월,주민홍,http://www.neungyule.com,서울특별시
155,104200,KOSDAQ,NHN벅스,소프트웨어 개발 및 공급업,"디지털음원유통, 온라인음악서비스",2009-10-06,12월,양주일,http://www.bugs.co.kr,경기도
156,060250,KOSDAQ,NHN한국사이버결제,기타 정보 서비스업,전자결제서비스업,2002-01-08,12월,박준석,http://www.kcp.co.kr,서울특별시
161,030190,KOSDAQ,NICE평가정보,기타 정보 서비스업,"개인 및 기업정보,솔루션",2000-05-16,12월,신희부,http://www.niceinfo.co.kr,서울특별시
166,078590,KOSDAQ,OQP,자동차 신품 부품 제조업,자동차내장카페트,2005-10-27,12월,이창현 단독대표이사,http://www.oqp.co.kr,경상남도
167,178920,KOSDAQ,PI첨단소재,플라스틱제품 제조업,PI필름,2014-12-08,12월,김태림,http://www.skckolonpi.com,충청북도
168,024940,KOSDAQ,PN풍년,기타 금속 가공제품 제조업,압력솥,1995-01-04,12월,유재원,http://www.saekwang.co.kr,경기도
170,218410,KOSDAQ,RFHIC,통신 및 방송 장비 제조업,GaN 트랜지스터,2015-06-30,12월,조덕수,http://rfhic.com,경기도
171,091340,KOSDAQ,S&K폴리텍,전자부품 제조업,고밀도폴리우레탄폼시트,2007-07-30,12월,강원형,http://www.snkpolytec.com,경기도
178,019550,KOSDAQ,SBI인베스트먼트,신탁업 및 집합투자업,벤처캐피탈,1989-09-06,12월,공동대표이사 이준효 공동대표이사 소우에이이치로,http://www.sbik.co.kr,서울특별시
179,950110,KOSDAQ,SBI핀테크솔루션즈,소프트웨어 개발 및 공급업,전자결제대행 및 핀테크 비스,2012-12-17,03월,카네코 유이치,http://https://www.sbi-finsol.co.jp/kr/,일본
182,046140,KOSDAQ,SBS콘텐츠허브,"영화, 비디오물, 방송프로그램 제작 및 배급업","컨텐츠, 프로젝트",2003-02-05,12월,김휘진,http://www.sbscontentshub.co.kr,서울특별시
183,036120,KOSDAQ,SCI평가정보,기타 정보 서비스업,"신용조회,채권추심,신용조사",1999-12-07,12월,강욱성,http://www.sci.co.kr,서울특별시
184,099220,KOSDAQ,SDN,기계장비 및 관련 물품 도매업,"태양광기자재 및 선박용엔진 도매, 태양광발전시스템 구축 및 설계",2009-05-19,12월,최기혁,http://www.sdn-i.com,경기도
185,036540,KOSDAQ,SFA반도체,반도체 제조업,"반도체패키지(SOP,DIP,QFP)",2001-05-02,12월,김영민,http://www.sts-semi.co.kr,충청남도
186,255220,KOSDAQ,SG,기타 비금속 광물제품 제조업,"아스콘, 레미콘",2018-01-26,12월,박창호,http://sgholdings.co.kr,인천광역시
187,040610,KOSDAQ,SG&G,자동차 신품 부품 제조업,생활정보신문,2000-04-27,12월,이 의 범,http://www.sgng.com,경기도
188,049470,KOSDAQ,SGA,소프트웨어 개발 및 공급업,"산업용컴퓨터 제조, 판매",2001-10-11,12월,은유진,http://www.sgacorp.kr,서울특별시
189,184230,KOSDAQ,SGA솔루션즈,소프트웨어 개발 및 공급업,보안솔루션,2013-12-20,12월,최영철,http://sgasol.kr,서울특별시
198,307070,KOSDAQ,SK4호스팩,금융 지원 서비스업,기업인수합병,2018-12-07,12월,박신규,,서울특별시
