stock_code,stock_name,stock_time,current_price,open,high,low,volume,prev_close
A000020,동화약품,1600,21850,22000,22050,20700,542244,22000
A000040,KR모터스,1600,767,748,786,732,1165198,743
A000050,경방,1600,10550,10650,10850,10550,14528,10500
A000060,메리츠화재,1600,12850,12850,13050,12800,138975,12750
A000070,삼양홀딩스,1600,64000,64000,64800,62400,12035,62500
A000075,삼양홀딩스우,1600,47800,47750,47800,47000,314,47000
A000080,하이트진로,1600,36250,36600,36600,35750,269487,35950
A000087,하이트진로2우B,1600,21300,21450,21500,20950,750,21350
A000100,유한양행,1600,64200,64800,64900,63700,255000,63700
A000105,유한양행우,1600,64900,65100,65400,64000,8739,64800
A000120,CJ대한통운,1600,177500,175000,180000,173500,98813,172000
A000140,하이트진로홀딩스,1600,16950,16950,17050,16250,20173,16900
A000145,하이트진로홀딩스,1600,16200,16400,16400,16150,204,16050
A000150,두산,1600,46850,47000,48100,46550,64955,46700
A000155,두산우,1600,38800,38900,39900,38700,16727,38700
A000157,두산2우B,1600,85000,86000,91500,84900,9568,86200
A000180,성창기업지주,1600,1635,1615,1645,1605,116853,1610
A000210,대림산업,1600,77400,78700,79100,76600,205722,77400
A000215,대림산업우,1600,40900,41100,41200,39150,33220,40400
A000220,유유제약,1600,16000,15850,16150,15650,115001,15750
A000225,유유제약1우,1600,15250,15400,15500,14950,18334,15300
A000227,유유제약2우B,1600,35450,35800,36050,35100,1429,36100
A000230,일동홀딩스,1600,9110,9140,9230,8870,24388,8950
A000240,한국테크놀로지그,1600,16750,16800,17200,16550,798879,16550
A000270,기아차,1600,46900,46500,46900,45750,1613926,45500
A000300,대유플러스,1600,811,808,832,802,1348495,807
A000320,노루홀딩스,1600,9120,9130,9150,9080,1560,9130
A000325,노루홀딩스우,1600,17450,17350,17500,17350,1322,17350
A000370,한화손해보험,1600,2865,2865,2895,2850,213698,2860
A000390,삼화페인트,1600,4925,4920,4945,4920,12024,4905
A000400,롯데손해보험,1600,1645,1580,1680,1575,1361605,1575
A000430,대원강업,1600,4085,4200,4200,4010,499908,4210
A000480,조선내화,1600,73100,74000,74000,72900,404,72900
A000490,대동공업,1600,6510,6490,6610,6430,98040,6430
A000500,가온전선,1600,21550,21900,21900,21250,15683,21600
