data_code,thema_name,stock_code,stock_name,stock_current_print
360,REITs,A088260,이리츠코크렙,5290
360,REITs,A140910,에이리츠,7490
360,REITs,A145270,케이탑리츠,778
360,REITs,A204210,모두투어리츠,2980
360,REITs,A293940,신한알파리츠,6870
360,REITs,A330590,롯데리츠,5180
360,REITs,A334890,이지스밸류리츠,4570
360,REITs,A338100,NH프라임리츠,4285
360,REITs,A348950,제이알글로벌리츠,4990
360,REITs,A350520,이지스레지던스리츠,4705
360,REITs,A357120,코람코에너지리츠,4735
360,REITs,A357250,미래에셋맵스리츠,4760
359,지뢰탐지,A010820,퍼스텍,2065
359,지뢰탐지,A056080,유진로봇,2040
359,지뢰탐지,A065950,웰크론,6430
359,지뢰탐지,A099440,스맥,1885
359,지뢰탐지,A141070,맥스로텍,2825
359,지뢰탐지,A214680,디알텍,1495
358,5G,A010170,대한광통신,3815
358,5G,A032500,케이엠더블유,78600
358,5G,A039560,다산네트웍스,12400
358,5G,A050890,쏠리드,11300
358,5G,A073490,이노와이어리스,60600
358,5G,A073540,에프알텍,6390
358,5G,A095270,웨이브일렉트로,8680
358,5G,A264450,유비쿼스,36200
357,애플 - 아이폰6,A011070,LG이노텍,155000
357,애플 - 아이폰6,A034220,LG디스플레이,15350
357,애플 - 아이폰6,A041520,이라이콤,11000
357,애플 - 아이폰6,A051370,인터플렉스,11600
356,바이오가스,A025750,한솔홈데코,1425
356,바이오가스,A035890,서희건설,1145
356,바이오가스,A038870,에코바이오,8600
356,바이오가스,A102260,동성코퍼레이션,4085
356,바이오가스,A119850,지엔씨에너지,6190
355,미세먼지,A000250,삼천당제약,55000
355,미세먼지,A009440,KC그린홀딩스,3720
355,미세먼지,A021240,코웨이,79300
355,미세먼지,A044340,위닉스,19550
355,미세먼지,A045060,오공,4655
355,미세먼지,A045520,크린앤사이언스,33150
355,미세먼지,A065950,웰크론,6430
355,미세먼지,A080470,성창오토텍,8840
355,미세먼지,A083550,케이엠,13650
355,미세먼지,A103590,일진전기,2900
355,미세먼지,A131030,디에이치피코리아,7850
354,3D 프린팅,A039310,세중,2620
354,3D 프린팅,A048770,TPC,4060
354,3D 프린팅,A066310,큐에스아이,16600
354,3D 프린팅,A090360,로보스타,13000
354,3D 프린팅,A099440,스맥,1885
354,3D 프린팅,A126700,하이비젼시스템,12500
353,스마트카 - 전장화,A039290,인포뱅크,9380
353,스마트카 - 전장화,A064480,브리지텍,3525
353,스마트카 - 전장화,A086960,한컴MDS,11700
353,스마트카 - 전장화,A089850,유비벨록스,8900
352,분자 진단,A038290,마크로젠,30650
352,분자 진단,A041830,인바디,15900
352,분자 진단,A064550,바이오니아,26500
352,분자 진단,A066700,테라젠이텍스,11250
352,분자 진단,A096530,씨젠,260400
352,분자 진단,A127120,디엔에이링크,22000
351,지문 인식,A060250,NHN한국사이버결제,68500
351,지문 인식,A094840,슈프리마에이치큐,6590
350,홍체 인식,A047310,파워로직스,6950
350,홍체 인식,A111870,삼본전자,1545
349,음성 인식,A033560,블루콤,7500
349,음성 인식,A064480,브리지텍,3525
349,음성 인식,A096610,알에프세미,5150
349,음성 인식,A108860,셀바스AI,2750
348,동작 인식,A025320,시노펙스,4790
348,동작 인식,A066310,큐에스아이,16600
348,동작 인식,A080520,오디텍,4675
348,동작 인식,A091700,파트론,10150
347,비트코인,A033320,제이씨현시스템,7800
347,비트코인,A038530,골드퍼시픽,1500
347,비트코인,A046440,KG모빌리언스,9530
347,비트코인,A093520,매커스,4570
346,사물인터넷,A038620,위즈코프,1030
346,사물인터넷,A069410,엔텔스,8450
346,사물인터넷,A078070,유비쿼스홀딩스,28900
346,사물인터넷,A086960,한컴MDS,11700
345,빅 데이터,A012510,더존비즈온,104500
345,빅 데이터,A022100,포스코 ICT,6940
345,빅 데이터,A032500,케이엠더블유,78600
345,빅 데이터,A034730,SK,198500
345,빅 데이터,A035720,카카오,364500
345,빅 데이터,A050890,쏠리드,11300
344,Flexible 디스플레이,A030530,원익홀딩스,4310
344,Flexible 디스플레이,A054620,APS홀딩스,8590
344,Flexible 디스플레이,A059100,아이컴포넌트,4600
344,Flexible 디스플레이,A080000,에스엔유,4160
344,Flexible 디스플레이,A123100,,0
344,Flexible 디스플레이,A141000,비아트론,9270
344,Flexible 디스플레이,A159910,스킨앤스킨,263
332,스마트기기 부품,A,,0
332,스마트기기 부품,A005930,삼성전자,58200
332,스마트기기 부품,A006400,삼성SDI,433500
332,스마트기기 부품,A020760,일진디스플,3660
332,스마트기기 부품,A025320,시노펙스,4790
332,스마트기기 부품,A033240,자화전자,13600
332,스마트기기 부품,A041520,이라이콤,11000
332,스마트기기 부품,A043590,크로바하이텍,1490
332,스마트기기 부품,A045970,코아시아,8830
332,스마트기기 부품,A047310,파워로직스,6950
332,스마트기기 부품,A049070,인탑스,17000
332,스마트기기 부품,A049520,유아이엘,3770
332,스마트기기 부품,A049630,재영솔루텍,732
332,스마트기기 부품,A051370,인터플렉스,11600
332,스마트기기 부품,A052710,아모텍,31200
332,스마트기기 부품,A053450,세코닉스,5370
332,스마트기기 부품,A054340,,0
332,스마트기기 부품,A060720,KH바텍,20050
