stock_code,stock_name,stock_time,current_price,open,high,low,volume,prev_close
A252670,KODEX 200선물인,1559,4200,4175,4235,4155,165210594,4265
A031820,콤텍시스템,1559,1625,1760,1845,1560,81495541,1635
A122630,KODEX 레버리지,1559,14645,14735,14810,14560,59939956,14450
A251340,KODEX 코스닥150,1559,5275,5290,5345,5265,49902141,5335
A017180,명문제약,1559,6980,6150,7820,6110,45932406,6140
A114800,KODEX 인버스,1559,5485,5475,5510,5460,30363188,5520
A233740,KODEX 코스닥150,1559,12620,12500,12675,12320,22726288,12345
A004770,써니전자,1600,4685,4490,4920,4430,21670247,4335
A013000,세우글로벌,1600,3280,3260,3575,3080,18653141,3230
A002870,신풍제지,1600,2370,2210,2600,2155,17584129,2170
A042670,두산인프라코어,1559,8770,9200,9320,8720,17119839,9130
A092220,KEC,1600,1290,1205,1345,1205,16139890,1185
A005930,삼성전자,1559,58200,58300,59000,58200,13538073,58200
A093230,이아이디,1600,248,243,250,240,12583152,243
A009290,광동제약,1600,9720,10800,11250,9530,11722540,9250
A069500,KODEX 200,1600,31085,31105,31195,30940,9890756,30795
A007460,에이프로젠 KIC,1600,1830,1830,1950,1755,9495165,1815
A003520,영진약품,1600,8140,8060,8680,7960,9450863,7980
Q500019,신한 레버리지 WT,1559,285,285,290,280,9073038,280
A002900,동양물산,1600,1380,1360,1390,1320,8402323,1335
A004310,현대약품,1600,5990,6600,6800,5950,7317222,5740
A004270,남성,1600,2825,2610,2990,2610,7008604,2585
A012280,영화금속,1600,1540,1630,1655,1515,6761515,1730
A229200,KODEX 코스닥 150,1600,13220,13130,13230,13020,6709349,13055
A011000,진원생명과학,1559,29650,28850,30900,28750,6625237,31900
A009460,한창제지,1600,2320,2230,2335,2225,6543070,2220
A025750,한솔홈데코,1600,1425,1395,1490,1395,6048879,1380
A252710,TIGER 200선물인,1600,4345,4330,4375,4295,5783902,4410
A002630,오리엔트바이오,1600,1625,1525,1640,1515,5416506,1520
A013520,화승알앤에이,1600,2045,2285,2500,2005,4897974,1940
A009830,한화솔루션,1600,38450,39550,39600,37300,4586492,38250
Q530031,삼성 레버리지 WT,1559,350,350,355,345,4495176,345
A000660,SK하이닉스,1600,84000,83100,84900,82200,4477093,82500
A001780,알루코,1600,3895,3890,4200,3885,4420362,3865
A008350,남선알미늄,1600,5270,5090,5290,5030,4204829,5010
A011930,신성이엔지,1600,2055,2120,2120,2030,4173360,2065
A003060,에이프로젠제약,1600,1285,1320,1325,1260,4047877,1275
A000890,보해양조,1600,900,877,919,876,3986298,878
A001470,삼부토건,1600,1775,1635,1775,1630,3788638,1630
A008700,아남전자,1600,1820,1765,1880,1765,3740454,1760
A037270,YG PLUS,1600,8370,8400,8460,8160,3649519,8270
A026890,디피씨,1600,15950,16600,16750,15500,3632640,16400
A214330,금호에이치티,1600,3580,3515,3660,3470,3499554,3505
A002760,보락,1600,2355,2300,2395,2280,3340064,2290
A088350,한화생명,1558,1525,1500,1550,1500,3312240,1480
A023800,인지컨트롤스,1600,9420,8690,9600,8660,3095272,8600
