Date,Close,Open,High,Low,Change
2000-01-03,1127.5,1128.5,1128.5,1127.5,-0.006999999999999999
2000-01-04,1122.5,1133.5,1133.5,1121.5,-0.0044
2000-01-05,1134.5,1126.5,1135.0,1124.5,0.010700000000000001
2000-01-06,1146.25,1137.25,1147.35,1132.75,0.0104
2000-01-07,1137.5,1152.5,1155.5,1136.5,-0.0076
2000-01-10,1133.25,1136.25,1138.75,1131.75,-0.0037
2000-01-11,1146.0,1135.0,1147.0,1132.8,0.0113
2000-01-12,1144.25,1154.25,1154.25,1141.25,-0.0015
2000-01-13,1135.25,1143.25,1144.25,1134.25,-0.0079
2000-01-14,1124.5,1136.5,1136.5,1124.0,-0.0095
2000-01-17,1120.5,1125.0,1127.5,1116.5,-0.0036
2000-01-18,1126.5,1121.5,1129.5,1118.5,0.0054
2000-01-19,1133.5,1127.9,1134.5,1126.0,0.0062
2000-01-20,1125.5,1133.5,1137.1,1125.5,-0.0070999999999999995
2000-01-21,1127.5,1127.0,1130.5,1125.5,0.0018
2000-01-24,1124.25,1127.75,1128.75,1123.75,-0.0029
2000-01-25,1127.0,1124.5,1128.0,1124.5,0.0024
2000-01-26,1127.5,1127.3,1128.3,1126.0,0.0004
2000-01-27,1125.0,1126.9,1127.5,1125.0,-0.0022
2000-01-28,1120.5,1125.6,1125.6,1120.0,-0.004
2000-01-31,1123.5,1123.5,1127.5,1122.5,0.0027
2000-02-01,1126.5,1124.5,1127.5,1122.5,0.0027
2000-02-02,1130.5,1128.5,1134.5,1128.5,0.0036
2000-02-03,1130.0,1131.0,1131.5,1127.6,-0.0004
2000-02-04,1129.5,1128.5,1129.5,1127.5,-0.0004
2000-02-07,1129.2,1130.4,1130.9,1127.9,-0.0003
2000-02-08,1129.25,1132.75,1134.25,1127.55,0.0
2000-02-09,1123.5,1130.2,1130.2,1122.5,-0.0051
2000-02-10,1120.5,1123.0,1124.5,1119.6,-0.0027
2000-02-11,1115.0,1120.1,1120.8,1113.7,-0.0049
2000-02-14,1127.5,1116.0,1127.5,1114.8,0.011200000000000002
2000-02-15,1127.0,1130.0,1131.5,1126.2,-0.0004
2000-02-16,1125.5,1130.5,1130.5,1123.6,-0.0013
2000-02-17,1128.0,1126.0,1130.0,1125.0,0.0022
2000-02-18,1129.0,1130.0,1131.5,1128.5,0.0009
2000-02-21,1132.5,1129.0,1134.9,1127.5,0.0031
2000-02-22,1134.5,1133.0,1136.0,1132.5,0.0018
2000-02-23,1135.5,1134.0,1135.9,1127.0,0.0009
2000-02-24,1143.5,1137.5,1143.5,1136.6,0.006999999999999999
2000-02-25,1136.5,1143.8,1145.0,1136.5,-0.0060999999999999995
2000-02-28,1134.5,1136.5,1136.5,1128.0,-0.0018
2000-02-29,1131.11,1134.7,1134.7,1130.7,-0.003
2000-03-01,1128.0,1128.5,1130.5,1128.0,-0.0027
2000-03-02,1119.75,1130.75,1130.75,1119.75,-0.0073
2000-03-03,1120.0,1121.2,1122.8,1119.5,0.0002
2000-03-06,1119.5,1122.6,1122.6,1118.8,-0.0004
2000-03-07,1118.6,1119.2,1119.2,1115.1,-0.0008
2000-03-08,1119.1,1118.6,1122.0,1117.6,0.0004
2000-03-09,1122.5,1119.6,1123.9,1118.4,0.003
2000-03-10,1119.5,1121.5,1122.0,1118.5,-0.0027
2000-03-13,1120.5,1120.8,1122.0,1119.2,0.0009
2000-03-14,1118.3,1120.4,1121.6,1118.1,-0.002
2000-03-15,1118.35,1119.15,1119.65,1116.45,0.0
2000-03-16,1117.5,1118.6,1118.6,1117.2,-0.0008
2000-03-17,1117.25,1117.65,1118.25,1117.05,-0.0002
2000-03-20,1118.04,1119.14,1119.14,1117.44,0.0007000000000000001
2000-03-21,1116.5,1119.0,1119.0,1114.5,-0.0014000000000000002
2000-03-22,1112.75,1117.55,1117.55,1112.25,-0.0034000000000000002
2000-03-23,1109.75,1114.25,1114.25,1109.75,-0.0027
2000-03-24,1108.5,1110.5,1110.9,1108.0,-0.0011
2000-03-27,1112.05,1108.75,1112.05,1108.35,0.0032
2000-03-28,1112.25,1112.75,1112.75,1110.25,0.0002
2000-03-29,1109.25,1113.45,1113.45,1109.15,-0.0027
2000-03-30,1107.25,1109.95,1109.95,1107.15,-0.0018
2000-03-31,1105.25,1107.25,1107.85,1105.25,-0.0018
2000-04-03,1112.6,1107.4,1116.9,1104.4,0.0067
2000-04-04,1113.5,1112.9,1114.3,1112.5,0.0008
2000-04-05,1115.0,1113.0,1115.0,1113.0,0.0013
2000-04-06,1111.5,1115.5,1115.7,1111.5,-0.0031
2000-04-07,1108.5,1113.8,1113.8,1108.0,-0.0027
2000-04-10,1110.0,1108.2,1110.5,1106.8,0.0014000000000000002
2000-04-11,1109.75,1110.25,1111.75,1108.35,-0.0002
2000-04-12,1108.25,1109.95,1110.55,1107.95,-0.0014000000000000002
2000-04-13,1106.5,1106.5,1106.5,1106.5,-0.0016
2000-04-14,1111.1,1108.4,1111.5,1108.0,0.0042
2000-04-17,1113.5,1114.0,1116.2,1113.5,0.0022
2000-04-18,1110.5,1114.0,1114.0,1109.5,-0.0027
