,업종,종목코드,종목명,코스닥여부
0,증권,001515,SK증권우,N
1,증권,001290,상상인증권,N
2,증권,003460,유화증권,N
3,증권,001750,한양증권,N
4,증권,003530,한화투자증권,N
5,증권,003465,유화증권우,N
6,증권,030610,교보증권,N
7,증권,190650,코리아에셋투자증권,Y
8,증권,003470,유안타증권,N
9,증권,001720,신영증권,N
10,증권,001500,현대차증권,N
11,증권,003540,대신증권,N
12,증권,039490,키움증권,N
13,증권,032190,다우데이타,Y
14,증권,003545,대신증권우,N
15,증권,003535,한화투자증권우,N
16,증권,001510,SK증권,N
17,증권,003547,대신증권2우B,N
18,증권,030210,KTB투자증권,N
19,증권,001270,부국증권,N
20,증권,001725,신영증권우,N
21,증권,001275,부국증권우,N
22,증권,078020,이베스트투자증권,Y
23,증권,006800,미래에셋대우,N
24,증권,071050,한국금융지주,N
25,증권,006805,미래에셋대우우,N
26,증권,005945,NH투자증권우,N
27,증권,001200,유진투자증권,N
28,증권,00680K,미래에셋대우2우B,N
29,증권,016610,DB금융투자,N
30,증권,016360,삼성증권,N
31,증권,001755,한양증권우,N
32,증권,005940,NH투자증권,N
33,증권,071055,한국금융지주우,N
34,증권,003475,유안타증권우,N
35,증권,008560,메리츠증권,N
36,은행,175330,JB금융지주,N
37,은행,139130,DGB금융지주,N
38,은행,138930,BNK금융지주,N
39,은행,086790,하나금융지주,N
40,은행,024110,기업은행,N
41,은행,006220,제주은행,N
42,은행,105560,KB금융,N
43,은행,055550,신한지주,N
44,은행,316140,우리금융지주,N
45,기타,323350,다원넥스뷰,N
46,기타,223220,아이피몬스터,N
47,기타,232530,이엠티,N
48,기타,092590,럭스피아,N
49,기타,215050,비엔디생활건강,N
50,기타,276240,엘리비젼,N
51,기타,149300,아퓨어스,N
52,기타,530068,삼성 레버리지 천연가스 선물 ETN B,N
53,기타,570045,TRUE 레버리지 천연가스 선물 ETN(H),N
54,기타,500053,신한 레버리지 천연가스 선물 ETN,N
55,기타,500031,신한 레버리지 천연가스 선물 ETN(H),N
56,기타,086080,다이노나,N
57,기타,520009,미래에셋 레버리지 원유선물혼합 ETN(H),N
58,기타,158300,에스에이티이엔지,N
59,기타,202960,판도라티비,N
60,기타,530037,삼성 레버리지 천연가스 선물 ETN,N
61,기타,086220,네추럴FNP,N
62,기타,267060,명진홀딩스,N
63,기타,148780,비플라이소프트,N
64,기타,530061,삼성 레버리지 은 선물 ETN(H),N
65,기타,250030,진코스텍,N
66,기타,530031,삼성 레버리지 WTI원유 선물 ETN,N
67,기타,271850,다이오진,N
68,기타,500029,신한 레버리지 은 선물 ETN(H),N
69,기타,530033,삼성 Alerian 에너지인프라 MLP ETN,N
70,기타,327610,펨토바이오메드,N
71,기타,530032,삼성 Cushing 에너지인프라 MLP ETN,N
72,기타,510007,대신 2X 니켈선물 ETN(H),N
73,기타,550042,QV 레버리지 WTI원유 선물 ETN(H),N
74,기타,200580,메디쎄이,N
75,기타,500019,신한 레버리지 WTI원유 선물 ETN(H),N
76,기타,500021,신한 천연가스 선물 ETN(H),N
77,기타,203400,에이비온,N
78,기타,520010,미래에셋 원유선물혼합 ETN(H),N
79,기타,500015,신한 WTI원유 선물 ETN(H),N
80,기타,236340,메디젠휴먼케어,N
81,기타,261220,KODEX WTI원유선물(H),N
82,기타,159800,마이티 코스피100,N
83,기타,303360,프로테옴텍,N
84,기타,185680,KODEX 미국S&P바이오(합성),N
85,기타,176750,듀켐바이오,N
86,기타,203780,TIGER 미국나스닥바이오,N
87,기타,322970,무진메디,N
88,기타,500004,신한 브렌트원유 선물 ETN(H),N
89,기타,212310,휴벡셀,N
90,기타,280930,KODEX 미국러셀2000(H),N
91,기타,130680,TIGER 원유선물Enhanced(H),N
92,기타,179720,옐로페이,N
93,기타,510003,대신 니켈선물 ETN(H),N
94,기타,219390,KBSTAR 미국S&P원유생산기업(합성 H),N
95,기타,530020,삼성 미국 대형 가치주 ETN,N
96,기타,500017,신한 은 선물 ETN(H),N
97,기타,530006,삼성 음식료 테마주 ETN,N
98,기타,510001,대신 WTI원유 선물 ETN(H),N
99,기타,144600,KODEX 은선물(H),N
100,기타,243890,TIGER 200에너지화학레버리지,N
101,기타,530023,삼성 레버리지 China A50 선물 ETN(H),N
102,기타,570043,TRUE 레버리지 나스닥 100 ETN,N
103,기타,334690,KBSTAR 팔라듐선물(H),N
104,기타,105010,TIGER 라틴35,N
105,기타,570022,TRUE 레버리지 S&P500 선물 ETN(H),N
106,기타,225060,TIGER 이머징마켓MSCI레버리지(합성 H),N
107,기타,276650,KBSTAR 글로벌4차산업IT(합성 H),N
108,기타,213630,ARIRANG 미국다우존스고배당주(합성 H),N
109,기타,500050,신한 레버리지 S&P500 선물 ETN,N
110,기타,216280,원텍,N
111,기타,530016,삼성 미국 대형 가치주 ETN(H),N
112,기타,256440,KINDEX 인도네시아MSCI(합성),N
113,기타,227540,TIGER 200 헬스케어,N
114,기타,500020,신한 레버리지 다우존스지수 선물 ETN(H),N
115,기타,225040,TIGER 미국S&P500레버리지(합성 H),N
116,기타,550012,QV 의료 TOP5 ETN,N
117,기타,550014,QV 바이오 TOP5 ETN,N
118,기타,280320,KINDEX 미국IT인터넷S&P(합성 H),N
119,기타,530055,삼성 레버리지 금 선물 ETN(H),N
120,기타,530019,삼성 미국 대형 성장주 ETN,N
121,기타,307610,TIGER KRX300레버리지,N
122,기타,520003,미래에셋 원자재 선물 ETN(H),N
123,기타,225130,KINDEX 골드선물 레버리지(합성 H),N
124,기타,550015,QV 제약 TOP5 ETN,N
125,기타,500037,신한 레버리지 금 선물 ETN,N
126,기타,590010,미래에셋 레버리지 S&P500 ETN(H),N
127,기타,281310,바이오시네틱스,N
128,기타,267500,KBSTAR 미국장기국채선물인버스2X(합성 H),N
129,기타,530015,삼성 미국 대형 성장주 ETN(H),N
130,기타,550044,QV 레버리지 S&P500 ETN,N
131,기타,189400,ARIRANG 글로벌MSCI(합성 H),N
132,기타,570031,TRUE 레버리지 HSCEI ETN(H),N
133,기타,185190,수프로,N
134,기타,304670,KODEX 미국채울트라30년선물인버스(H),N
135,기타,243880,TIGER 200IT레버리지,N
136,기타,139320,TIGER 금은선물(H),N
137,기타,076340,관악산업,N
138,기타,292130,TIGER 중소형성장,N
139,기타,300610,TIGER K게임,N
140,기타,530012,삼성 화학 테마주 ETN,N
141,기타,266170,뿌리깊은나무들,N
142,기타,169950,KODEX 중국본토 A50,N
143,기타,304940,KODEX 미국나스닥100선물(H),N
144,기타,354350,HANARO 글로벌럭셔리S&P(합성),N
145,기타,143860,TIGER 헬스케어,N
146,기타,140610,엔솔바이오사이언스,N
147,기타,266420,KODEX 헬스케어,N
148,기타,266870,파워풀엑스,N
149,기타,292500,SMART KRX300,N
150,기타,590007,미래에셋 미국 대형주 ETN(H),N
151,기타,269540,ARIRANG 미국S&P500(H),N
