date,time,open,high,low,close,prev,volume,tr_amount,sales_qu,purchase_qu,li_share,market_cap,fr_cu_holding,fr_cu_ratio,ad_pr_ratio,in_net_buy,up_do,up_do_ratio,deposit,st_turnover,tr_es_ratio,sign
20201029,0,18400,19300,18300,19150,200,420776,7967000000,219902,200750,27931000,534887000000,1541625,5.519999980926514,100.0,-14073,0,0.0,0,0.0,0.0,50
20201028,0,17250,19400,17250,18950,1450,757160,14067000000,337454,409975,27931000,529292000000,1541625,5.519999980926514,100.0,12546,0,0.0,0,0.0,0.0,50
20201027,0,16850,18150,15900,17500,400,854079,14764000000,368846,474784,27931000,488792000000,1473907,5.28000020980835,100.0,-3805,0,0.0,0,0.0,0.0,50
20201026,0,19500,19750,17000,17100,-2700,1338181,23805000000,796202,508668,27931000,477620000000,1255212,4.489999771118164,100.0,4686,0,0.0,0,0.0,0.0,53
20201023,0,19500,20600,19350,19800,600,567794,11297000000,271322,287305,27931000,553033000000,1134029,4.059999942779541,100.0,-4000,0,0.0,0,0.0,0.0,50
20201022,0,19850,20050,19000,19200,-900,620779,12065000000,372733,236551,27931000,536275000000,1145214,4.099999904632568,100.0,-36,0,0.0,0,0.0,0.0,53
20201021,0,20200,20500,19850,20100,-200,402212,8116000000,211989,180124,27931000,561413000000,1019909,3.6500000953674316,100.0,3038,0,0.0,0,0.0,0.0,53
20201020,0,20850,21600,19850,20300,-1000,745574,15141000000,411045,317416,27931000,566999000000,967212,3.4600000381469727,100.0,-3995,0,0.0,0,0.0,0.0,53
20201019,0,21350,22900,20750,21300,-250,590550,12758000000,271601,310056,27931000,594930000000,887694,3.1800000667572017,100.0,-1150,0,0.0,0,0.0,0.0,53
20201016,0,22750,22950,20750,21550,-1200,912125,19551000000,600960,297637,27931000,601913000000,896029,3.2100000381469727,100.0,-58544,0,0.0,0,0.0,0.0,53
20201015,0,23850,23850,22450,22750,-1100,508031,11652000000,312005,182085,27931000,635430000000,866103,3.0999999046325684,100.0,329,0,0.0,0,0.0,0.0,53
20201014,0,23900,24200,23600,23850,-450,420287,10026000000,231880,180627,27931000,666154000000,882497,3.1600000858306885,100.0,-2785,0,0.0,0,0.0,0.0,53
20201013,0,24200,24550,23900,24300,300,426678,10342000000,226866,185194,27931000,678723000000,872813,3.119999885559082,100.0,-2650,0,0.0,0,0.0,0.0,50
20201012,0,24500,24950,22950,24000,-150,540131,13039000000,345599,186894,27931000,670344000000,873556,3.130000114440918,100.0,1022,0,0.0,0,0.0,0.0,53
20201008,0,23600,24850,23600,24150,650,716608,17399000000,312273,383482,27931000,674533000000,910980,3.259999990463257,100.0,6024,0,0.0,0,0.0,0.0,50
20201007,0,23500,23550,23100,23500,-250,322425,7531000000,178073,136676,27931000,656378000000,913076,3.2699999809265137,100.0,1528,0,0.0,0,0.0,0.0,53
20201006,0,24100,24350,23350,23750,-350,463912,10998000000,274377,179115,27931000,663361000000,949805,3.400000095367432,100.0,-6937,0,0.0,0,0.0,0.0,53
20201005,0,22200,24350,21700,24100,2250,1094057,25444000000,475953,595364,27931000,673137000000,992087,3.549999952316284,100.0,4716,0,0.0,0,0.0,0.0,50
20200929,0,22000,22050,20700,21850,-150,551123,11831000000,298463,235825,27931000,610292000000,1050663,3.759999990463257,100.0,2568,0,0.0,0,0.0,0.0,53
20200928,0,22100,22500,21500,22000,-100,442765,9716000000,270145,163128,27931000,614482000000,1032831,3.700000047683716,100.0,-1605,0,0.0,0,0.0,0.0,53
20200925,0,21100,22750,20600,22100,1000,612823,13331000000,315691,284473,27931000,617275000000,1075883,3.8499999046325684,100.0,-933,0,0.0,0,0.0,0.0,50
20200924,0,22450,22800,20950,21100,-2050,1097445,23923000000,663652,416011,27931000,589344000000,1093885,3.920000076293945,100.0,1109,0,0.0,0,0.0,0.0,53
20200923,0,24150,24400,22500,23150,-900,633571,14767000000,347312,262963,27931000,646602000000,1022633,3.660000085830689,100.0,-946,0,0.0,0,0.0,0.0,53
20200922,0,24600,25050,23500,24050,-1000,788037,18963000000,452499,325697,27931000,671740000000,1012535,3.630000114440918,100.0,-9464,0,0.0,0,0.0,0.0,53
20200921,0,25300,26200,24600,25050,0,811682,20700000000,419265,373206,27931000,699671000000,1012220,3.619999885559082,100.0,-109,0,0.0,0,0.0,0.0,51
20200918,0,25000,25450,24750,25050,-250,624243,15650000000,364886,247898,27931000,699671000000,1046178,3.75,100.0,-1500,0,0.0,0,0.0,0.0,53
20200917,0,24800,25850,24700,25300,250,722838,18145000000,370294,334231,27931000,706654000000,1053624,3.7699999809265137,100.0,-3194,0,0.0,0,0.0,0.0,50
20200916,0,24850,25700,24700,25050,-350,681274,17082000000,387608,260891,27931000,699671000000,1062565,3.7999999523162837,100.0,1043,0,0.0,0,0.0,0.0,53
20200915,0,26200,26950,25300,25400,-900,911902,23800000000,512367,354678,27931000,709447000000,1033709,3.7000000476837163,100.0,-11779,0,0.0,0,0.0,0.0,53
20200914,0,26850,26850,25450,26300,-450,809547,21287000000,445602,345826,27931000,734585000000,1047107,3.75,100.0,6928,0,0.0,0,0.0,0.0,53
20200911,0,28200,29600,26150,26750,800,3734243,102865000000,2067694,1629489,27931000,747154000000,1030910,3.690000057220459,100.0,-12607,0,0.0,0,0.0,0.0,50
20200910,0,25500,26100,24700,25950,1400,1809380,46235000000,867366,832189,27931000,724809000000,1045379,3.740000009536743,100.0,18241,0,0.0,0,0.0,0.0,50
