date,time,open,high,low,close,prev,volume,tr_amount,sales_qu,purchase_qu,li_share,market_cap,fr_cu_holding,fr_cu_ratio,ad_pr_ratio,in_net_buy,up_do,up_do_ratio,deposit,st_turnover,tr_es_ratio,sign
19991111,0,11200,11200,11200,11200,1200,12,0,0,0,6000000,67200000000,0,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991112,0,12500,12500,12500,12500,1300,140,2000000,0,0,6000000,75000000000,0,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991115,0,14000,14000,14000,14000,1500,405,6000000,0,0,6000000,84000000000,0,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991116,0,15650,15650,15650,15650,1650,214,3000000,0,0,6000000,93900000000,0,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991117,0,17500,17500,17500,17500,1850,191,3000000,0,0,6000000,105000000000,0,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991118,0,19600,19600,19600,19600,2100,772,15000000,0,0,6000000,117600000000,100,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991119,0,21950,21950,21950,21950,2350,253,6000000,0,0,6000000,131700000000,100,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991122,0,24550,24550,24550,24550,2600,199,5000000,0,0,6000000,147300000000,100,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991123,0,27450,27450,27450,27450,2900,119,3000000,0,0,6000000,164700000000,100,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991124,0,30700,30700,30700,30700,3250,226,7000000,0,0,6000000,184200000000,125,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991125,0,34350,34350,34350,34350,3650,74,3000000,0,0,6000000,206100000000,125,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991126,0,38450,38450,38450,38450,4100,138,5000000,0,0,6000000,230700000000,125,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991129,0,43050,43050,43050,43050,4600,722,31000000,0,0,6000000,258300000000,225,0.0,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991130,0,48200,48200,48200,48200,5150,675,33000000,0,0,6000000,289200000000,437,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991201,0,53900,53900,53900,53900,5700,498,27000000,0,0,6000000,323400000000,437,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991202,0,60300,60300,60300,60300,6400,26283,1585000000,0,0,6000000,361800000000,437,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991203,0,67500,67500,67500,67500,7200,4204,284000000,0,0,6000000,405000000000,637,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991206,0,75600,75600,75600,75600,8100,2279,172000000,0,0,6000000,453600000000,637,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991207,0,84600,84600,84600,84600,9000,1858,157000000,0,0,6000000,507600000000,737,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991208,0,94700,94700,94700,94700,10100,530,50000000,0,0,6000000,568200000000,737,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991209,0,106000,106000,106000,106000,11300,303,32000000,0,0,6000000,636000000000,737,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991210,0,118500,118500,118500,118500,12500,919,109000000,0,0,6000000,711000000000,737,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991213,0,132500,132500,132500,132500,14000,281,37000000,0,0,6000000,795000000000,737,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991214,0,148000,148000,148000,148000,15500,338,50000000,0,0,6000000,888000000000,737,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
19991215,0,165500,165500,165500,165500,17500,1665,276000000,0,0,6000000,993000000000,637,0.009999999776482582,44.45000076293945,0,0,0.0,0,0.0,0.0,49
