date,time,open,high,low,close,prev,volume,tr_amount,sales_qu,purchase_qu,li_share,market_cap,fr_cu_holding,fr_cu_ratio,ad_pr_ratio,in_net_buy,up_do,up_do_ratio,deposit,st_turnover,tr_es_ratio,sign
20200929,0,748,786,732,767,24,1166020,881000000,633872,530013,91661000,70304000000,42670343,46.54999923706055,100.0,-9588,0,0.0,0,0.0,0.0,50
20200928,0,769,771,736,743,-28,1391500,1042000000,956070,425263,91661000,68104000000,42480843,46.349998474121094,100.0,7045,0,0.0,0,0.0,0.0,53
20200925,0,798,800,742,771,-6,1774224,1354000000,1193912,561450,91661000,70670000000,42316338,46.16999816894531,100.0,-92652,0,0.0,0,0.0,0.0,53
20200924,0,720,850,694,777,66,4763258,3697000000,2377730,2287353,91661000,71220000000,42451452,46.31000137329102,100.0,-5698,0,0.0,0,0.0,0.0,50
20200923,0,745,745,690,711,-18,1080646,771000000,757355,314084,91661000,65170000000,42858790,46.7599983215332,100.0,14488,0,0.0,0,0.0,0.0,53
20200922,0,773,773,723,729,-46,1240304,911000000,900972,329618,91661000,66820000000,42841249,46.7400016784668,100.0,-342,0,0.0,0,0.0,0.0,53
20200921,0,796,800,757,775,-21,1233320,956000000,822097,409066,91661000,71037000000,42887320,46.790000915527344,100.0,-36034,0,0.0,0,0.0,0.0,53
20200918,0,809,820,785,796,-16,1239438,984000000,784012,449620,91661000,72962000000,42915322,46.81999969482422,100.0,1256,0,0.0,0,0.0,0.0,53
20200917,0,818,827,806,812,-5,993952,807000000,622853,364008,91661000,74428000000,43022578,46.93999862670898,100.0,-9357,0,0.0,0,0.0,0.0,53
20200916,0,836,838,806,817,-16,1349832,1107000000,900400,444582,91661000,74887000000,43191570,47.11999893188477,100.0,-2677,0,0.0,0,0.0,0.0,53
20200915,0,871,885,825,833,-27,1419824,1194000000,979257,427395,91661000,76353000000,43183312,47.11000061035156,100.0,-3259,0,0.0,0,0.0,0.0,53
20200914,0,840,870,819,860,20,2207632,1858000000,990768,1193622,91661000,78828000000,43236697,47.16999816894531,100.0,-34870,0,0.0,0,0.0,0.0,50
20200911,0,899,899,813,840,-35,2909258,2446000000,1785104,1098862,91661000,76995000000,42978622,46.88999938964844,100.0,3,0,0.0,0,0.0,0.0,53
20200910,0,870,920,845,875,134,12005339,10536000000,6360844,5583844,91661000,80203000000,43232904,47.16999816894531,100.0,-54081,0,0.0,0,0.0,0.0,50
20200909,0,911,965,741,741,-191,7699063,6570000000,3919879,3040326,91661000,67920000000,43537374,47.5,100.0,105438,0,0.0,0,0.0,0.0,53
