2020-11-08 00:01:33 : 진행 시간 - 00:17 | 학습 시작  
2020-11-08 00:02:20 : 진행 시간 - 00:16 | 학습 시작  
2020-11-08 00:04:45 : 진행 시간 - 02:40 | 54.317  
2020-11-08 00:04:45 : 진행 시간 - 02:40 | 54.317  
2020-11-08 00:04:45 : 진행 시간 - 02:40 | 다음 데이터가 없습니다. 754번째 에피소드가 끝났습니다.  
2020-11-08 00:04:45 : 진행 시간 - 02:40 | 다음 데이터가 없습니다. 754번째 에피소드가 끝났습니다.  
2020-11-08 00:04:45 : 진행 시간 - 02:40 | 다음 데이터가 없습니다. 754번째 에피소드가 끝났습니다.  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 학습 끝  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 학습 끝  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 학습 끝  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 학습 끝  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 테스트 시작  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 테스트 시작  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 테스트 시작  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 테스트 시작  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 테스트 시작  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 테스트 데이터 분리  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 테스트 데이터 분리  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 테스트 데이터 분리  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 테스트 데이터 분리  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 테스트 데이터 분리  
2020-11-08 00:04:45 : 진행 시간 - 02:41 | 테스트 데이터 분리  
2020-11-08 00:05:02 : 진행 시간 - 02:57 | 테스트 시작  
2020-11-08 00:05:02 : 진행 시간 - 02:57 | 테스트 시작  
2020-11-08 00:05:02 : 진행 시간 - 02:57 | 테스트 시작  
2020-11-08 00:05:02 : 진행 시간 - 02:57 | 테스트 시작  
2020-11-08 00:05:02 : 진행 시간 - 02:57 | 테스트 시작  
2020-11-08 00:05:02 : 진행 시간 - 02:57 | 테스트 시작  
2020-11-08 00:05:02 : 진행 시간 - 02:57 | 테스트 시작  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:05:47 : 진행 시간 - 03:42 | 테스트 끝  
2020-11-08 00:09:53 : 진행 시간 - 00:17 | 학습 시작  
2020-11-08 00:12:21 : 진행 시간 - 02:45 | 54.8092  
2020-11-08 00:12:21 : 진행 시간 - 02:45 | 54.8092  
2020-11-08 00:12:21 : 진행 시간 - 02:45 | 다음 데이터가 없습니다. 754번째 에피소드가 끝났습니다.  
2020-11-08 00:12:21 : 진행 시간 - 02:45 | 다음 데이터가 없습니다. 754번째 에피소드가 끝났습니다.  
2020-11-08 00:12:21 : 진행 시간 - 02:45 | 다음 데이터가 없습니다. 754번째 에피소드가 끝났습니다.  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 학습 끝  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 학습 끝  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 학습 끝  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 학습 끝  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 테스트 시작  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 테스트 시작  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 테스트 시작  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 테스트 시작  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 테스트 시작  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 테스트 데이터 분리  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 테스트 데이터 분리  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 테스트 데이터 분리  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 테스트 데이터 분리  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 테스트 데이터 분리  
2020-11-08 00:12:22 : 진행 시간 - 02:46 | 테스트 데이터 분리  
2020-11-08 00:12:38 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:12:38 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:12:38 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:12:38 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:12:38 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:12:38 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:12:38 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 0.0 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 0.0 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 0.0 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 0.0 테스트 끝  
