,종목 코드,종목명
0,000020,동화약품
1,000040,KR모터스
2,000050,경방
3,000060,메리츠화재
4,000070,삼양홀딩스
5,000075,삼양홀딩스우
6,000080,하이트진로
7,000087,하이트진로2우B
8,000100,유한양행
9,000105,유한양행우
10,000120,CJ대한통운
11,000140,하이트진로홀딩스
12,000145,하이트진로홀딩스우
13,000150,두산
14,000155,두산우
15,000157,두산2우B
16,000180,성창기업지주
17,000210,대림산업
18,000215,대림산업우
19,000220,유유제약
20,000225,유유제약1우
21,000227,유유제약2우B
22,000230,일동홀딩스
23,000240,한국테크놀로지그룹
24,000270,기아차
25,000300,대유플러스
26,000320,노루홀딩스
27,000325,노루홀딩스우
28,000370,한화손해보험
29,000390,삼화페인트
30,000400,롯데손해보험
31,000430,대원강업
32,000480,조선내화
33,000490,대동공업
34,000500,가온전선
35,000520,삼일제약
36,000540,흥국화재
37,000545,흥국화재우
38,000547,흥국화재2우B
39,000590,CS홀딩스
40,000640,동아쏘시오홀딩스
41,000650,천일고속
42,000660,SK하이닉스
43,000670,영풍
44,000680,LS네트웍스
45,000700,유수홀딩스
46,000720,현대건설
47,000725,현대건설우
48,000760,이화산업
49,000810,삼성화재
50,000815,삼성화재우
51,000850,화천기공
52,000860,강남제비스코
53,000880,한화
54,000885,한화우
55,00088K,한화3우B
56,000890,보해양조
57,000910,유니온
58,000950,전방
59,000970,한국주철관
60,000990,DB하이텍
61,000995,DB하이텍1우
62,001020,페이퍼코리아
63,001040,CJ
64,001045,CJ우
65,00104K,CJ4우(전환)
66,001060,JW중외제약
67,001065,JW중외제약우
68,001067,JW중외제약2우B
69,001070,대한방직
70,001080,만호제강
71,001120,LG상사
72,001130,대한제분
73,001140,국보
74,001200,유진투자증권
75,001210,금호전기
76,001230,동국제강
77,001250,GS글로벌
78,001260,남광토건
79,001270,부국증권
80,001275,부국증권우
81,001290,상상인증권
82,001340,백광산업
83,001360,삼성제약
84,001380,SG충방
85,001390,KG케미칼
86,001420,태원물산
87,001430,세아베스틸
88,001440,대한전선
89,001450,현대해상
90,001460,BYC
91,001465,BYC우
92,001470,삼부토건
93,001500,현대차증권
94,001510,SK증권
95,001515,SK증권우
96,001520,동양
97,001525,동양우
98,001527,동양2우B
99,001529,동양3우B
100,001530,DI동일
101,001550,조비
102,001560,제일연마
103,001570,금양
104,001620,케이비아이동국실업
105,001630,종근당홀딩스
106,001680,대상
107,001685,대상우
108,001720,신영증권
109,001725,신영증권우
110,001740,SK네트웍스
111,001745,SK네트웍스우
112,001750,한양증권
113,001755,한양증권우
114,001770,신화실업
115,001780,알루코
116,001790,대한제당
117,001795,대한제당우
118,001800,오리온홀딩스
119,001820,삼화콘덴서
120,001880,대림건설
121,001940,KISCO홀딩스
122,002020,코오롱
123,002025,코오롱우
124,002030,아세아
125,002070,비비안
126,002100,경농
127,002140,고려산업
128,002150,도화엔지니어링
129,002170,삼양통상
130,002200,한국수출포장
131,002210,동성제약
132,002220,한일철강
133,002240,고려제강
134,002270,롯데푸드
135,002310,아세아제지
136,002320,한진
137,002350,넥센타이어
138,002355,넥센타이어1우B
139,002360,SH에너지화학
140,002380,KCC
141,002390,한독
142,002410,범양건영
143,002420,세기상사
144,002450,삼익악기
145,002460,화성산업
146,002600,조흥
147,002620,제일파마홀딩스
148,002630,오리엔트바이오
149,002690,동일제강
150,002700,신일전자
151,002710,TCC스틸
152,002720,국제약품
153,002760,보락
154,002780,진흥기업
155,002785,진흥기업우B
156,002787,진흥기업2우B
157,002790,아모레G
158,002795,아모레G우
159,00279K,아모레G3우(전환)
160,002810,삼영무역
161,002820,선창산업
162,002840,미원상사
163,002870,신풍제지
